x,y,Angle,Point,x1,y1
0.4,0.4,45,0.012,0.4084853,0.4084853
0.4,0.4,90,-1.0,-0.6,0.4
0.4,0.4,135,0.006,0.40424263,0.39575738
0.4,0.4,180,0.007,0.4,0.393
0.4,0.4,225,0.019,0.38656497,0.38656497
0.4,0.4,270,0.0,0.4,0.4
0.4,0.4,315,0.001,0.3992929,0.40070713
0.35,0.42,0,-1.0,0.35,-0.58000004
0.35,0.42,45,-1.0,-0.35710678,-0.28710678
0.35,0.42,90,0.0,0.35,0.42
0.35,0.42,135,0.0,0.35,0.42
0.35,0.42,180,0.007,0.35,0.413
0.35,0.42,225,-1.0,1.0571067,1.1271068
0.35,0.42,270,0.006,0.34399998,0.42
0.35,0.42,315,0.006,0.34575737,0.42424262
0.3,0.3,0,0.007,0.3,0.307
0.3,0.3,45,0.004,0.30282843,0.30282843
0.3,0.3,90,0.006,0.30600002,0.3
0.3,0.3,135,0.006,0.30424264,0.29575738
0.3,0.3,180,0.006,0.3,0.294
0.3,0.3,225,0.006,0.29575738,0.29575738
0.3,0.3,270,0.006,0.294,0.3
0.3,0.3,315,0.006,0.29575738,0.30424264
0.35,0.42,0,0.007999999,0.35,0.42799997
0.35,0.42,45,0.007,0.35494974,0.42494974
0.35,0.42,90,0.001,0.35099998,0.42
0.35,0.42,135,0.0,0.35,0.42
0.35,0.42,180,0.007999999,0.35,0.412
0.35,0.42,225,0.016,0.3386863,0.40868628
0.35,0.42,270,0.001,0.349,0.42
0.35,0.42,315,0.006,0.34575737,0.42424262
0.4,0.4,0,0.007,0.4,0.407
0.4,0.4,45,0.037,0.42616296,0.42616296
0.4,0.4,90,0.006,0.40600002,0.4
0.4,0.4,135,0.012,0.4084853,0.39151472
0.4,0.4,180,0.012,0.4,0.388
0.4,0.4,225,0.022,0.38444367,0.38444367
0.4,0.4,270,0.007,0.393,0.4
0.4,0.4,315,0.007,0.39505026,0.40494975
0.3,0.3,0,0.007,0.3,0.307
0.3,0.3,45,0.006,0.30424264,0.30424264
0.3,0.3,90,0.006,0.30600002,0.3
0.3,0.3,135,0.006,0.30424264,0.29575738
0.3,0.3,180,0.006,0.3,0.294
0.3,0.3,225,0.007,0.29505026,0.29505026
0.3,0.3,270,0.0019999999,0.298,0.3
0.3,0.3,315,0.001,0.2992929,0.30070713
0.4,0.4,0,0.005,0.4,0.405
0.4,0.4,45,0.024,0.41697058,0.41697058
0.4,0.4,90,0.006,0.40600002,0.4
0.4,0.4,135,0.006,0.40424263,0.39575738
0.4,0.4,180,0.013,0.4,0.387
0.4,0.4,225,0.031000001,0.37807968,0.37807968
0.4,0.4,270,0.006,0.394,0.4
0.4,0.4,315,0.007999999,0.39434314,0.40565687
0.35,0.42,0,0.012,0.35,0.43199998
0.35,0.42,45,0.013,0.35919237,0.42919236
0.35,0.42,90,0.001,0.35099998,0.42
0.35,0.42,135,0.0019999999,0.3514142,0.41858578
0.35,0.42,180,0.007,0.35,0.413
0.35,0.42,225,0.0,0.35,0.42
0.35,0.42,270,0.005,0.345,0.42
0.35,0.42,315,0.006,0.34575737,0.42424262
0.3,0.3,0,0.0019999999,0.3,0.30200002
0.3,0.3,45,0.005,0.30353555,0.30353555
0.3,0.3,90,0.006,0.30600002,0.3
0.3,0.3,135,0.006,0.30424264,0.29575738
0.3,0.3,180,0.006,0.3,0.294
0.3,0.3,225,0.007,0.29505026,0.29505026
0.3,0.3,270,0.0019999999,0.298,0.3
0.3,0.3,315,0.004,0.2971716,0.30282843
0.4,0.4,0,0.013,0.4,0.41300002
0.4,0.4,45,-1.0,-0.30710676,-0.30710676
0.4,0.4,90,0.013,0.41300002,0.4
0.4,0.4,135,0.007999999,0.40565687,0.39434314
0.4,0.4,180,0.007,0.4,0.393
0.4,0.4,225,0.024,0.38302943,0.38302943
0.4,0.4,270,0.006,0.394,0.4
0.4,0.4,315,0.006,0.39575738,0.40424263
0.35,0.42,0,0.025,0.35,0.445
0.35,0.42,45,0.011,0.35777816,0.42777815
0.35,0.42,90,0.006,0.356,0.42
0.35,0.42,135,0.006,0.35424262,0.41575736
0.35,0.42,180,0.011,0.35,0.40899998
0.35,0.42,225,0.018,0.33727208,0.40727207
0.35,0.42,270,0.012,0.338,0.42
0.35,0.42,315,0.012,0.3415147,0.42848527
0.3,0.3,0,0.007,0.3,0.307
0.3,0.3,45,0.006,0.30424264,0.30424264
0.3,0.3,90,0.006,0.30600002,0.3
0.3,0.3,135,0.006,0.30424264,0.29575738
0.3,0.3,180,0.007,0.3,0.293
0.3,0.3,225,0.0019999999,0.2985858,0.2985858
0.3,0.3,270,0.0019999999,0.298,0.3
0.3,0.3,315,0.001,0.2992929,0.30070713
0.4,0.4,0,0.007,0.4,0.407
0.4,0.4,45,0.039,0.42757717,0.42757717
0.4,0.4,90,0.013,0.41300002,0.4
0.4,0.4,135,0.004,0.40282843,0.3971716
0.4,0.4,180,0.012,0.4,0.388
0.4,0.4,225,0.031000001,0.37807968,0.37807968
0.4,0.4,270,0.007,0.393,0.4
0.4,0.4,315,0.007,0.39505026,0.40494975
0.35,0.42,0,0.013,0.35,0.433
0.35,0.42,45,0.007,0.35494974,0.42494974
0.35,0.42,90,0.006,0.356,0.42
0.35,0.42,135,0.006,0.35424262,0.41575736
0.35,0.42,180,0.019,0.35,0.401
0.35,0.42,225,0.007999999,0.34434313,0.41434312
0.35,0.42,270,0.007,0.343,0.42
0.35,0.42,315,0.006,0.34575737,0.42424262
0.3,0.3,0,0.001,0.3,0.301
0.3,0.3,45,0.0019999999,0.30141422,0.30141422
0.3,0.3,90,0.001,0.301,0.3
0.3,0.3,135,0.0019999999,0.30141422,0.2985858
0.3,0.3,180,0.0019999999,0.3,0.298
0.3,0.3,225,0.004,0.2971716,0.2971716
0.3,0.3,270,0.006,0.294,0.3
0.3,0.3,315,0.006,0.29575738,0.30424264
0.4,0.4,0,0.006,0.4,0.40600002
0.4,0.4,45,-1.0,-0.30710676,-0.30710676
0.4,0.4,90,0.0,0.4,0.4
0.4,0.4,135,-1.0,-0.30710676,1.1071068
0.4,0.4,180,0.005,0.4,0.395
0.4,0.4,225,0.006,0.39575738,0.39575738
0.4,0.4,270,0.006,0.394,0.4
0.4,0.4,315,0.006,0.39575738,0.40424263
0.35,0.42,0,0.025,0.35,0.445
0.35,0.42,45,-1.0,-0.35710678,-0.28710678
0.35,0.42,90,-1.0,-0.65,0.42
0.35,0.42,135,-1.0,-0.35710678,1.1271068
0.35,0.42,180,0.0,0.35,0.42
0.35,0.42,225,0.007,0.34505025,0.41505024
0.35,0.42,270,0.001,0.349,0.42
0.35,0.42,315,0.006,0.34575737,0.42424262
0.3,0.3,0,0.001,0.3,0.301
0.3,0.3,45,0.001,0.30070713,0.30070713
0.3,0.3,90,0.0019999999,0.30200002,0.3
0.3,0.3,135,0.0,0.3,0.3
0.3,0.3,180,0.001,0.3,0.29900002
0.3,0.3,225,0.0,0.3,0.3
0.3,0.3,270,0.0019999999,0.298,0.3
0.3,0.3,315,0.001,0.2992929,0.30070713
0.4,0.4,0,0.01,0.4,0.41
0.4,0.4,45,0.038,0.42687005,0.42687005
0.4,0.4,90,0.007,0.407,0.4
0.4,0.4,135,0.007,0.40494975,0.39505026
0.4,0.4,180,0.006,0.4,0.394
0.4,0.4,225,0.024,0.38302943,0.38302943
0.4,0.4,270,0.006,0.394,0.4
0.4,0.4,315,0.006,0.39575738,0.40424263
0.35,0.42,0,0.013,0.35,0.433
0.35,0.42,45,0.007,0.35494974,0.42494974
0.35,0.42,90,0.004,0.354,0.42
0.35,0.42,135,0.006,0.35424262,0.41575736
0.35,0.42,180,0.012,0.35,0.408
0.35,0.42,225,0.012,0.3415147,0.4115147
0.35,0.42,270,0.012,0.338,0.42
0.35,0.42,315,0.006,0.34575737,0.42424262
0.3,0.3,0,0.0019999999,0.3,0.30200002
0.3,0.3,45,0.005,0.30353555,0.30353555
0.3,0.3,90,0.003,0.303,0.3
0.3,0.3,135,0.001,0.30070713,0.2992929
0.3,0.3,180,0.004,0.3,0.296
0.3,0.3,225,0.006,0.29575738,0.29575738
0.3,0.3,270,0.006,0.294,0.3
0.3,0.3,315,0.006,0.29575738,0.30424264
0.4,0.4,0,0.007999999,0.4,0.408
0.4,0.4,45,0.024,0.41697058,0.41697058
0.4,0.4,90,0.006,0.40600002,0.4
0.4,0.4,135,0.012,0.4084853,0.39151472
0.4,0.4,180,0.018,0.4,0.382
0.4,0.4,225,0.018,0.3872721,0.3872721
0.4,0.4,270,0.007,0.393,0.4
0.4,0.4,315,0.004,0.3971716,0.40282843
0.35,0.42,0,0.013,0.35,0.433
0.35,0.42,45,0.019,0.36343503,0.43343502
0.35,0.42,90,0.006,0.356,0.42
0.35,0.42,135,0.006,0.35424262,0.41575736
0.35,0.42,180,0.011,0.35,0.40899998
0.35,0.42,225,0.025,0.33232233,0.40232232
0.35,0.42,270,0.006,0.34399998,0.42
0.35,0.42,315,0.012,0.3415147,0.42848527
0.3,0.3,0,0.0019999999,0.3,0.30200002
0.3,0.3,45,0.006,0.30424264,0.30424264
0.3,0.3,90,0.006,0.30600002,0.3
0.3,0.3,135,0.006,0.30424264,0.29575738
0.3,0.3,180,0.006,0.3,0.294
0.3,0.3,225,0.007,0.29505026,0.29505026
0.3,0.3,270,0.0019999999,0.298,0.3
0.3,0.3,315,0.0019999999,0.2985858,0.30141422
0.4,0.4,0,0.007999999,0.4,0.408
0.4,0.4,45,0.032,0.42262742,0.42262742
0.4,0.4,90,0.006,0.40600002,0.4
0.4,0.4,135,0.006,0.40424263,0.39575738
0.4,0.4,180,0.007,0.4,0.393
0.4,0.4,225,0.025,0.38232234,0.38232234
0.4,0.4,270,0.004,0.396,0.4
0.4,0.4,315,0.006,0.39575738,0.40424263
0.35,0.42,0,0.019,0.35,0.43899998
0.35,0.42,45,0.007,0.35494974,0.42494974
0.35,0.42,90,0.0019999999,0.352,0.42
0.35,0.42,135,0.007,0.35494974,0.41505024
0.35,0.42,180,0.007,0.35,0.413
0.35,0.42,225,0.013,0.34080762,0.4108076
0.35,0.42,270,0.007,0.343,0.42
0.35,0.42,315,0.012,0.3415147,0.42848527
0.3,0.3,0,0.0019999999,0.3,0.30200002
0.3,0.3,45,0.004,0.30282843,0.30282843
0.3,0.3,90,0.006,0.30600002,0.3
0.3,0.3,135,0.006,0.30424264,0.29575738
0.3,0.3,180,0.006,0.3,0.294
0.3,0.3,225,0.006,0.29575738,0.29575738
0.3,0.3,270,0.006,0.294,0.3
0.3,0.3,315,0.006,0.29575738,0.30424264
0.4,0.4,0,0.018,0.4,0.418
0.4,0.4,45,0.049000002,0.43464825,0.43464825
0.4,0.4,90,0.006,0.40600002,0.4
0.4,0.4,135,0.006,0.40424263,0.39575738
0.4,0.4,180,0.013,0.4,0.387
0.4,0.4,225,0.027,0.38090813,0.38090813
0.4,0.4,270,0.007,0.393,0.4
0.4,0.4,315,0.006,0.39575738,0.40424263
0.3,0.3,0,0.001,0.3,0.301
0.3,0.3,45,0.0019999999,0.30141422,0.30141422
0.3,0.3,90,0.0,0.3,0.3
0.3,0.3,135,0.0019999999,0.30141422,0.2985858
0.3,0.3,180,0.0019999999,0.3,0.298
0.3,0.3,225,0.006,0.29575738,0.29575738
0.3,0.3,270,0.006,0.294,0.3
0.3,0.3,315,0.006,0.29575738,0.30424264
0.35,0.42,0,0.012,0.35,0.43199998
0.35,0.42,45,0.007,0.35494974,0.42494974
0.35,0.42,90,0.004,0.354,0.42
0.35,0.42,135,0.006,0.35424262,0.41575736
0.35,0.42,180,0.012,0.35,0.408
0.35,0.42,225,0.025,0.33232233,0.40232232
0.35,0.42,270,0.007999999,0.342,0.42
0.35,0.42,315,0.007999999,0.34434313,0.42565686
0.4,0.4,0,0.006,0.4,0.40600002
0.4,0.4,45,0.024,0.41697058,0.41697058
0.4,0.4,90,0.006,0.40600002,0.4
0.4,0.4,135,0.006,0.40424263,0.39575738
0.4,0.4,180,0.006,0.4,0.394
0.4,0.4,225,0.018,0.3872721,0.3872721
0.4,0.4,270,0.001,0.39900002,0.4
0.4,0.4,315,0.005,0.39646447,0.40353554
0.35,0.42,0,0.007999999,0.35,0.42799997
0.35,0.42,45,0.011,0.35777816,0.42777815
0.35,0.42,90,0.006,0.356,0.42
0.35,0.42,135,0.006,0.35424262,0.41575736
0.35,0.42,180,0.0,0.35,0.42
0.35,0.42,225,0.005,0.34646446,0.41646445
0.35,0.42,270,0.006,0.34399998,0.42
0.35,0.42,315,0.006,0.34575737,0.42424262
0.3,0.3,0,0.0019999999,0.3,0.30200002
0.3,0.3,45,0.0019999999,0.30141422,0.30141422
0.3,0.3,90,0.0,0.3,0.3
0.3,0.3,135,0.0,0.3,0.3
0.3,0.3,180,0.0,0.3,0.3
0.3,0.3,225,0.0,0.3,0.3
0.3,0.3,270,0.0,0.3,0.3
0.3,0.3,315,0.001,0.2992929,0.30070713
0.4,0.4,0,0.006,0.4,0.40600002
0.4,0.4,45,0.025,0.41767767,0.41767767
0.4,0.4,90,0.007,0.407,0.4
0.4,0.4,135,0.004,0.40282843,0.3971716
0.4,0.4,180,0.007,0.4,0.393
0.4,0.4,225,0.025,0.38232234,0.38232234
0.4,0.4,270,0.004,0.396,0.4
0.4,0.4,315,0.006,0.39575738,0.40424263
0.35,0.42,0,0.013,0.35,0.433
0.35,0.42,45,0.013,0.35919237,0.42919236
0.35,0.42,90,0.001,0.35099998,0.42
0.35,0.42,135,0.0019999999,0.3514142,0.41858578
0.35,0.42,180,0.007999999,0.35,0.412
0.35,0.42,225,0.011,0.34222183,0.41222182
0.35,0.42,270,0.006,0.34399998,0.42
0.35,0.42,315,0.006,0.34575737,0.42424262
0.3,0.3,0,0.0019999999,0.3,0.30200002
0.3,0.3,45,0.004,0.30282843,0.30282843
0.3,0.3,90,0.006,0.30600002,0.3
0.3,0.3,135,0.006,0.30424264,0.29575738
0.3,0.3,180,0.006,0.3,0.294
0.3,0.3,225,0.006,0.29575738,0.29575738
0.3,0.3,270,0.001,0.29900002,0.3
0.3,0.3,315,0.001,0.2992929,0.30070713
0.4,0.4,0,0.005,0.4,0.405
0.4,0.4,45,0.031000001,0.42192033,0.42192033
0.4,0.4,90,0.006,0.40600002,0.4
0.4,0.4,135,0.006,0.40424263,0.39575738
0.4,0.4,180,0.007,0.4,0.393
0.4,0.4,225,0.022,0.38444367,0.38444367
0.4,0.4,270,0.001,0.39900002,0.4
0.4,0.4,315,0.007,0.39505026,0.40494975
0.35,0.42,0,-1.0,0.35,-0.58000004
0.35,0.42,45,0.006,0.35424262,0.42424262
0.35,0.42,90,0.007,0.357,0.42
0.35,0.42,135,0.001,0.3507071,0.41929287
0.35,0.42,180,0.007999999,0.35,0.412
0.35,0.42,225,0.013,0.34080762,0.4108076
0.35,0.42,270,0.011,0.339,0.42
0.35,0.42,315,0.006,0.34575737,0.42424262
0.3,0.3,0,0.004,0.3,0.30400002
0.3,0.3,45,0.006,0.30424264,0.30424264
0.3,0.3,90,0.006,0.30600002,0.3
0.3,0.3,135,0.006,0.30424264,0.29575738
0.3,0.3,180,0.006,0.3,0.294
0.3,0.3,225,0.007,0.29505026,0.29505026
0.3,0.3,270,0.0019999999,0.298,0.3
0.3,0.3,315,0.001,0.2992929,0.30070713
0.4,0.4,0,0.025,0.4,0.425
0.4,0.4,45,0.013,0.40919238,0.40919238
0.4,0.4,90,0.007,0.407,0.4
0.4,0.4,135,0.005,0.40353554,0.39646447
0.4,0.4,180,0.0,0.4,0.4
0.4,0.4,225,-1.0,1.1071068,1.1071068
0.4,0.4,270,0.007,0.393,0.4
0.4,0.4,315,0.001,0.3992929,0.40070713
0.35,0.42,0,0.013,0.35,0.433
0.35,0.42,45,0.006,0.35424262,0.42424262
0.35,0.42,90,0.001,0.35099998,0.42
0.35,0.42,135,0.006,0.35424262,0.41575736
0.35,0.42,180,0.0,0.35,0.42
0.35,0.42,225,0.006,0.34575737,0.41575736
0.35,0.42,270,0.006,0.34399998,0.42
0.35,0.42,315,0.006,0.34575737,0.42424262
0.3,0.3,0,0.001,0.3,0.301
0.3,0.3,45,0.0,0.3,0.3
0.3,0.3,90,0.0,0.3,0.3
0.3,0.3,135,0.001,0.30070713,0.2992929
0.3,0.3,180,0.001,0.3,0.29900002
0.3,0.3,225,0.005,0.29646447,0.29646447
0.3,0.3,270,0.006,0.294,0.3
0.3,0.3,315,0.006,0.29575738,0.30424264
0.4,0.4,0,0.007999999,0.4,0.408
0.4,0.4,45,0.013,0.40919238,0.40919238
0.4,0.4,90,0.0019999999,0.402,0.4
0.4,0.4,135,0.004,0.40282843,0.3971716
0.4,0.4,180,0.006,0.4,0.394
0.4,0.4,225,0.011,0.39222184,0.39222184
0.4,0.4,270,0.006,0.394,0.4
0.4,0.4,315,0.006,0.39575738,0.40424263
0.35,0.42,0,0.007999999,0.35,0.42799997
0.35,0.42,45,0.0,0.35,0.42
0.35,0.42,90,0.001,0.35099998,0.42
0.35,0.42,135,0.0,0.35,0.42
0.35,0.42,180,0.0,0.35,0.42
0.35,0.42,225,0.005,0.34646446,0.41646445
0.35,0.42,270,0.006,0.34399998,0.42
0.35,0.42,315,0.006,0.34575737,0.42424262
0.3,0.3,0,-1.0,0.3,-0.7
0.3,0.3,45,0.0,0.3,0.3
0.3,0.3,90,0.0,0.3,0.3
0.3,0.3,135,0.0,0.3,0.3
0.3,0.3,180,0.0,0.3,0.3
0.3,0.3,225,0.0,0.3,0.3
0.3,0.3,270,0.0,0.3,0.3
0.3,0.3,315,0.0,0.3,0.3
0.4,0.4,0,0.013,0.4,0.41300002
0.4,0.4,45,0.038,0.42687005,0.42687005
0.4,0.4,90,0.012,0.412,0.4
0.4,0.4,135,0.012,0.4084853,0.39151472
0.4,0.4,180,0.018,0.4,0.382
0.4,0.4,225,0.038,0.37312996,0.37312996
0.4,0.4,270,0.007,0.393,0.4
0.4,0.4,315,0.007,0.39505026,0.40494975
0.35,0.42,0,0.012,0.35,0.43199998
0.35,0.42,45,0.026,0.36838478,0.43838477
0.35,0.42,90,0.004,0.354,0.42
0.35,0.42,135,0.007,0.35494974,0.41505024
0.35,0.42,180,0.007,0.35,0.413
0.35,0.42,225,0.025,0.33232233,0.40232232
0.35,0.42,270,0.011,0.339,0.42
0.35,0.42,315,0.012,0.3415147,0.42848527
0.3,0.3,0,0.0,0.3,0.3
0.3,0.3,45,0.01,0.3070711,0.3070711
0.3,0.3,90,0.013,0.31300002,0.3
0.3,0.3,135,0.007,0.30494976,0.29505026
0.3,0.3,180,0.007,0.3,0.293
0.3,0.3,225,0.0139999995,0.2901005,0.2901005
0.3,0.3,270,0.0019999999,0.298,0.3
0.3,0.3,315,0.006,0.29575738,0.30424264
0.4,0.4,0,0.007999999,0.4,0.408
0.4,0.4,45,0.024,0.41697058,0.41697058
0.4,0.4,90,0.012,0.412,0.4
0.4,0.4,135,0.007,0.40494975,0.39505026
0.4,0.4,180,0.006,0.4,0.394
0.4,0.4,225,0.018,0.3872721,0.3872721
0.4,0.4,270,0.006,0.394,0.4
0.4,0.4,315,0.006,0.39575738,0.40424263
0.35,0.42,0,0.013,0.35,0.433
0.35,0.42,45,0.013,0.35919237,0.42919236
0.35,0.42,90,0.007,0.357,0.42
0.35,0.42,135,0.0019999999,0.3514142,0.41858578
0.35,0.42,180,0.007,0.35,0.413
0.35,0.42,225,0.007999999,0.34434313,0.41434312
0.35,0.42,270,0.006,0.34399998,0.42
0.35,0.42,315,0.006,0.34575737,0.42424262
0.3,0.3,0,0.007,0.3,0.307
0.3,0.3,45,0.006,0.30424264,0.30424264
0.3,0.3,90,0.006,0.30600002,0.3
0.3,0.3,135,0.006,0.30424264,0.29575738
0.3,0.3,180,0.006,0.3,0.294
0.3,0.3,225,0.007,0.29505026,0.29505026
0.3,0.3,270,0.001,0.29900002,0.3
0.3,0.3,315,0.001,0.2992929,0.30070713
